product_id,product_name,category,weight_kg,length_cm,width_cm,height_cm,expiry_date,temp_sensitive,fragility_level,packaging_type,material_thickness_mm,insulation_required,reinforcement_level,ai_recommended_packaging,optimized_length,optimized_width,optimized_height,estimated_waste_kg,carbon_reduction_kgco2e,shipment_id,route_id,transport_mode,distance_km,est_transit_days,current_lat,current_lon,timestamp,temp_c,humidity_percent,shock_event,block_hash,sustainability_score,carbon_credits_earned,warehouse_id,storage_condition,inventory_turnover,reorder_alert,risk_score,regulatory_compliance,damage_probability
P1000,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-100,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:00:00,25,45,Yes,0x65fc...bd01,89,0.21,WH-790,Dry Storage,14.5,Yes,22,IECQ-HSPM,4%
P1001,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-101,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:01:00,25,45,Yes,0x31ac...81c3,91,0.19,WH-790,Dry Storage,8.6,Yes,16,IECQ-HSPM,1%
P1002,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-102,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:02:00,4,85,No,0x4e56...c2d1,91,0.25,WH-789,Cold Storage,14.2,No,14,ISO13485:2016,2%
P1003,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-103,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:03:00,25,45,Yes,0xfdc1...0c3b,93,0.16,WH-790,Dry Storage,10.7,Yes,15,IECQ-HSPM,1%
P1004,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-104,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:04:00,25,45,Yes,0xe0af...f621,80,0.27,WH-790,Dry Storage,8.5,Yes,14,IECQ-HSPM,7%
P1005,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-105,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:05:00,25,45,Yes,0x40d9...a635,94,0.43,WH-790,Dry Storage,8.2,Yes,16,IECQ-HSPM,3%
P1006,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-106,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:06:00,4,85,No,0x24a0...d568,80,0.29,WH-789,Cold Storage,10.8,No,14,ISO13485:2016,5%
P1007,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-107,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:07:00,4,85,No,0x61a0...8ac3,91,0.33,WH-789,Cold Storage,12.0,No,12,ISO13485:2016,9%
P1008,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-108,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:08:00,4,85,No,0xcba0...72e6,93,0.18,WH-789,Cold Storage,13.6,No,20,ISO13485:2016,5%
P1009,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-109,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:09:00,25,45,Yes,0x93ac...5218,84,0.21,WH-790,Dry Storage,10.5,Yes,11,IECQ-HSPM,1%
P1010,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-110,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:10:00,4,85,No,0xb3fc...ff22,86,0.45,WH-789,Cold Storage,12.7,No,16,ISO13485:2016,5%
P1011,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-111,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:11:00,25,45,Yes,0x108a...d818,84,0.41,WH-790,Dry Storage,7.6,Yes,10,IECQ-HSPM,6%
P1012,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-112,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:12:00,25,45,Yes,0xdce8...3842,84,0.11,WH-790,Dry Storage,9.1,Yes,10,IECQ-HSPM,9%
P1013,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-113,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:13:00,25,45,Yes,0xa0b2...232a,82,0.2,WH-790,Dry Storage,8.2,Yes,10,IECQ-HSPM,10%
P1014,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-114,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:14:00,4,85,No,0xa9ff...96bf,80,0.28,WH-789,Cold Storage,12.7,No,21,ISO13485:2016,5%
P1015,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-115,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:15:00,25,45,Yes,0x6e12...9b93,85,0.33,WH-790,Dry Storage,13.2,Yes,23,IECQ-HSPM,8%
P1016,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-116,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:16:00,4,85,No,0xa20a...ccbb,89,0.27,WH-789,Cold Storage,14.8,No,15,ISO13485:2016,5%
P1017,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-117,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:17:00,25,45,Yes,0x3bcc...77e2,88,0.24,WH-790,Dry Storage,13.0,Yes,18,IECQ-HSPM,2%
P1018,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-118,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:18:00,4,85,No,0x21bd...860b,95,0.33,WH-789,Cold Storage,9.3,No,15,ISO13485:2016,8%
P1019,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-119,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:19:00,4,85,No,0x3c1f...a26b,90,0.44,WH-789,Cold Storage,12.8,No,13,ISO13485:2016,2%
P1020,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-120,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:20:00,25,45,Yes,0x958d...c9b6,87,0.1,WH-790,Dry Storage,13.6,Yes,12,IECQ-HSPM,7%
P1021,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-121,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:21:00,25,45,Yes,0x40fe...e916,95,0.19,WH-790,Dry Storage,9.8,Yes,21,IECQ-HSPM,4%
P1022,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-122,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:22:00,4,85,No,0x3524...dd57,81,0.5,WH-789,Cold Storage,7.9,No,17,ISO13485:2016,9%
P1023,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-123,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:23:00,4,85,No,0x98b2...c8af,82,0.27,WH-789,Cold Storage,13.4,No,19,ISO13485:2016,10%
P1024,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-124,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:24:00,25,45,Yes,0x953e...9391,95,0.48,WH-790,Dry Storage,13.5,Yes,21,IECQ-HSPM,2%
P1025,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-125,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:25:00,4,85,No,0xda93...d38d,88,0.49,WH-789,Cold Storage,13.5,No,25,ISO13485:2016,10%
P1026,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-126,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:26:00,25,45,Yes,0xb499...d868,90,0.47,WH-790,Dry Storage,14.3,Yes,23,IECQ-HSPM,10%
P1027,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-127,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:27:00,4,85,No,0x4d94...e0ec,88,0.43,WH-789,Cold Storage,11.5,No,12,ISO13485:2016,5%
P1028,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-128,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:28:00,4,85,No,0xa5a1...1945,82,0.31,WH-789,Cold Storage,14.4,No,10,ISO13485:2016,9%
P1029,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-129,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:29:00,25,45,Yes,0x3e78...21c6,95,0.33,WH-790,Dry Storage,9.4,Yes,10,IECQ-HSPM,8%
P1030,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-130,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:30:00,4,85,No,0xe785...e732,80,0.48,WH-789,Cold Storage,14.7,No,10,ISO13485:2016,6%
P1031,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-131,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:31:00,25,45,Yes,0xea75...ca94,93,0.16,WH-790,Dry Storage,11.9,Yes,24,IECQ-HSPM,1%
P1032,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-132,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:32:00,4,85,No,0x1944...c9e0,87,0.47,WH-789,Cold Storage,11.8,No,16,ISO13485:2016,2%
P1033,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-133,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:33:00,25,45,Yes,0x2765...ef77,89,0.53,WH-790,Dry Storage,13.0,Yes,16,IECQ-HSPM,6%
P1034,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-134,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:34:00,25,45,Yes,0x5b13...ec3f,90,0.36,WH-790,Dry Storage,11.1,Yes,15,IECQ-HSPM,8%
P1035,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-135,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:35:00,4,85,No,0x4664...ce9a,87,0.37,WH-789,Cold Storage,10.7,No,25,ISO13485:2016,1%
P1036,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-136,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:36:00,25,45,Yes,0x2316...85da,94,0.38,WH-790,Dry Storage,10.9,Yes,20,IECQ-HSPM,2%
P1037,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-137,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:37:00,4,85,No,0xd9df...0dff,83,0.23,WH-789,Cold Storage,9.8,No,21,ISO13485:2016,2%
P1038,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-138,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:38:00,4,85,No,0xca44...38b7,93,0.38,WH-789,Cold Storage,12.0,No,12,ISO13485:2016,8%
P1039,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-139,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:39:00,4,85,No,0xcfb2...995c,90,0.39,WH-789,Cold Storage,13.4,No,23,ISO13485:2016,9%
P1040,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-140,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:40:00,25,45,Yes,0x66cc...ef3e,84,0.33,WH-790,Dry Storage,13.7,Yes,13,IECQ-HSPM,9%
P1041,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-141,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:41:00,25,45,Yes,0xc8ca...13d8,89,0.53,WH-790,Dry Storage,7.8,Yes,13,IECQ-HSPM,10%
P1042,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-142,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:42:00,25,45,Yes,0x75bf...c1c7,84,0.16,WH-790,Dry Storage,11.6,Yes,23,IECQ-HSPM,8%
P1043,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-143,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:43:00,25,45,Yes,0xa08d...6c21,81,0.57,WH-790,Dry Storage,12.3,Yes,11,IECQ-HSPM,1%
P1044,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-144,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:44:00,4,85,No,0x8d4f...fee0,88,0.36,WH-789,Cold Storage,11.7,No,24,ISO13485:2016,2%
P1045,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-145,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:45:00,25,45,Yes,0x7ecd...1926,93,0.34,WH-790,Dry Storage,10.6,Yes,21,IECQ-HSPM,10%
P1046,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-146,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:46:00,4,85,No,0xe92f...ceba,93,0.44,WH-789,Cold Storage,7.8,No,15,ISO13485:2016,6%
P1047,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-147,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:47:00,25,45,Yes,0x8f9c...d8d1,83,0.49,WH-790,Dry Storage,11.4,Yes,18,IECQ-HSPM,1%
