product_id,product_name,category,weight_kg,length_cm,width_cm,height_cm,expiry_date,temp_sensitive,fragility_level,packaging_type,material_thickness_mm,insulation_required,reinforcement_level,ai_recommended_packaging,optimized_length,optimized_width,optimized_height,estimated_waste_kg,carbon_reduction_kgco2e,shipment_id,route_id,transport_mode,distance_km,est_transit_days,current_lat,current_lon,timestamp,temp_c,humidity_percent,shock_event,block_hash,sustainability_score,carbon_credits_earned,warehouse_id,storage_condition,inventory_turnover,reorder_alert,risk_score,regulatory_compliance,damage_probability
P1048,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-148,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:48:00,25,45,Yes,0xd9c3...6488,80,0.49,WH-790,Dry Storage,14.9,Yes,22,IECQ-HSPM,2%
P1049,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-149,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:49:00,4,85,No,0x3d6b...f788,85,0.16,WH-789,Cold Storage,9.1,No,15,ISO13485:2016,5%
P1050,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-150,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:50:00,4,85,No,0x6ad0...cc28,95,0.22,WH-789,Cold Storage,10.9,No,19,ISO13485:2016,10%
P1051,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-151,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:51:00,25,45,Yes,0x6cd0...e3cd,80,0.26,WH-790,Dry Storage,9.1,Yes,17,IECQ-HSPM,8%
P1052,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-152,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:52:00,4,85,No,0x00e5...e3a7,81,0.31,WH-789,Cold Storage,12.3,No,18,ISO13485:2016,6%
P1053,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-153,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:53:00,4,85,No,0xde24...c18a,83,0.14,WH-789,Cold Storage,14.5,No,23,ISO13485:2016,1%
P1054,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-154,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:54:00,4,85,No,0x21a0...8418,91,0.56,WH-789,Cold Storage,11.2,No,16,ISO13485:2016,3%
P1055,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-155,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:55:00,25,45,Yes,0x4abf...f92e,91,0.31,WH-790,Dry Storage,14.2,Yes,11,IECQ-HSPM,1%
P1056,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-156,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:56:00,25,45,Yes,0x8014...6023,82,0.14,WH-790,Dry Storage,13.5,Yes,18,IECQ-HSPM,4%
P1057,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-157,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:57:00,4,85,No,0x1e56...1bc9,95,0.16,WH-789,Cold Storage,12.6,No,25,ISO13485:2016,4%
P1058,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-158,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T16:58:00,25,45,Yes,0x07f3...9298,93,0.34,WH-790,Dry Storage,11.1,Yes,10,IECQ-HSPM,6%
P1059,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-159,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T16:59:00,4,85,No,0x14bf...f1af,91,0.55,WH-789,Cold Storage,12.3,No,18,ISO13485:2016,9%
P1060,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-160,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:00:00,4,85,No,0x046e...079f,92,0.25,WH-789,Cold Storage,8.6,No,10,ISO13485:2016,6%
P1061,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-161,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:01:00,25,45,Yes,0x820d...c9eb,90,0.4,WH-790,Dry Storage,14.4,Yes,13,IECQ-HSPM,2%
P1062,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-162,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:02:00,25,45,Yes,0x88ae...584e,81,0.55,WH-790,Dry Storage,11.1,Yes,12,IECQ-HSPM,5%
P1063,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-163,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:03:00,4,85,No,0xaf9c...919c,94,0.15,WH-789,Cold Storage,12.1,No,18,ISO13485:2016,7%
P1064,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-164,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:04:00,4,85,No,0xfd75...95c8,94,0.22,WH-789,Cold Storage,13.3,No,14,ISO13485:2016,7%
P1065,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-165,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:05:00,25,45,Yes,0x5f67...19b0,92,0.31,WH-790,Dry Storage,12.1,Yes,23,IECQ-HSPM,1%
P1066,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-166,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:06:00,4,85,No,0x8557...0095,93,0.46,WH-789,Cold Storage,14.1,No,10,ISO13485:2016,4%
P1067,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-167,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:07:00,25,45,Yes,0x5862...fc30,83,0.17,WH-790,Dry Storage,10.6,Yes,14,IECQ-HSPM,3%
P1068,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-168,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:08:00,25,45,Yes,0x8eb4...0d91,88,0.17,WH-790,Dry Storage,8.8,Yes,13,IECQ-HSPM,7%
P1069,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-169,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:09:00,4,85,No,0x7d51...76c4,85,0.54,WH-789,Cold Storage,8.9,No,25,ISO13485:2016,9%
P1070,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-170,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:10:00,4,85,No,0x928d...4647,93,0.5,WH-789,Cold Storage,9.1,No,19,ISO13485:2016,4%
P1071,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-171,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:11:00,25,45,Yes,0x3ef4...43fd,94,0.14,WH-790,Dry Storage,10.7,Yes,16,IECQ-HSPM,9%
P1072,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-172,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:12:00,25,45,Yes,0x240f...6f2f,86,0.21,WH-790,Dry Storage,13.4,Yes,23,IECQ-HSPM,7%
P1073,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-173,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:13:00,4,85,No,0x3b3f...8726,94,0.12,WH-789,Cold Storage,14.7,No,10,ISO13485:2016,8%
P1074,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-174,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:14:00,4,85,No,0xefac...5d97,89,0.52,WH-789,Cold Storage,7.9,No,13,ISO13485:2016,6%
P1075,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-175,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:15:00,25,45,Yes,0x5db3...276c,85,0.5,WH-790,Dry Storage,13.6,Yes,15,IECQ-HSPM,4%
P1076,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-176,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:16:00,4,85,No,0x55e9...3ef3,85,0.59,WH-789,Cold Storage,9.1,No,18,ISO13485:2016,9%
P1077,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-177,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:17:00,25,45,Yes,0x6863...399c,88,0.13,WH-790,Dry Storage,8.5,Yes,20,IECQ-HSPM,4%
P1078,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-178,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:18:00,4,85,No,0x9401...6c93,93,0.4,WH-789,Cold Storage,9.3,No,16,ISO13485:2016,9%
P1079,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-179,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:19:00,4,85,No,0x238e...ca11,94,0.57,WH-789,Cold Storage,10.7,No,23,ISO13485:2016,5%
P1080,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-180,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:20:00,25,45,Yes,0xfae7...cb76,92,0.12,WH-790,Dry Storage,10.2,Yes,15,IECQ-HSPM,5%
P1081,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-181,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:21:00,25,45,Yes,0xfa53...3282,93,0.31,WH-790,Dry Storage,10.7,Yes,14,IECQ-HSPM,4%
P1082,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-182,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:22:00,4,85,No,0xc216...74da,87,0.36,WH-789,Cold Storage,14.5,No,24,ISO13485:2016,9%
P1083,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-183,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:23:00,4,85,No,0x9e40...c30b,86,0.19,WH-789,Cold Storage,13.2,No,24,ISO13485:2016,2%
P1084,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-184,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:24:00,25,45,Yes,0x1a82...e89d,85,0.52,WH-790,Dry Storage,11.1,Yes,19,IECQ-HSPM,4%
P1085,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-185,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:25:00,4,85,No,0x4396...ee7c,90,0.25,WH-789,Cold Storage,10.4,No,20,ISO13485:2016,6%
P1086,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-186,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:26:00,4,85,No,0x9910...7508,86,0.43,WH-789,Cold Storage,11.2,No,21,ISO13485:2016,5%
P1087,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-187,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:27:00,4,85,No,0x3a3c...5bb9,94,0.42,WH-789,Cold Storage,13.3,No,19,ISO13485:2016,7%
P1088,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-188,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:28:00,25,45,Yes,0xbd93...45f5,85,0.17,WH-790,Dry Storage,8.9,Yes,18,IECQ-HSPM,2%
P1089,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-189,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:29:00,4,85,No,0xb769...7200,83,0.21,WH-789,Cold Storage,9.7,No,25,ISO13485:2016,9%
P1090,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-190,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:30:00,4,85,No,0xd8f1...722e,86,0.42,WH-789,Cold Storage,11.4,No,14,ISO13485:2016,1%
P1091,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-191,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:31:00,25,45,Yes,0xfa2d...4297,89,0.21,WH-790,Dry Storage,13.4,Yes,14,IECQ-HSPM,4%
P1092,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-192,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:32:00,4,85,No,0x1860...8c2b,89,0.45,WH-789,Cold Storage,13.2,No,23,ISO13485:2016,10%
P1093,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-193,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:33:00,4,85,No,0x7abe...6f87,91,0.55,WH-789,Cold Storage,11.6,No,10,ISO13485:2016,2%
P1094,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-194,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:34:00,4,85,No,0x2fa0...e094,84,0.28,WH-789,Cold Storage,10.8,No,17,ISO13485:2016,6%
P1095,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-195,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:35:00,25,45,Yes,0xcb4d...3823,95,0.42,WH-790,Dry Storage,11.1,Yes,18,IECQ-HSPM,5%
P1096,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-196,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:36:00,25,45,Yes,0x68a3...4316,80,0.22,WH-790,Dry Storage,11.0,Yes,14,IECQ-HSPM,10%
P1097,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-197,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:37:00,25,45,Yes,0xaf06...89bb,89,0.47,WH-790,Dry Storage,9.6,Yes,15,IECQ-HSPM,8%
P1098,Medication_Alpha,Pharma,2.5,15,10,5,2025-12-31,Yes,High,Origami,2.0,Yes,Medium,Origami,14,9,4,0.3,0.75,SH2025-198,RT-789,Refrigerated Truck,350,2,12.9716,77.5946,2025-04-05T17:38:00,4,85,No,0x345d...cb45,84,0.46,WH-789,Cold Storage,14.1,No,24,ISO13485:2016,5%
P1099,Electronics_Beta,Consumer,5.8,30,20,15,2030-01-01,No,Medium,Thermocol,12.0,No,High,Thermocol,30,20,15,1.2,1.8,SH2025-199,RT-790,Cargo Plane,1200,1,13.0827,80.2707,2025-04-05T17:39:00,25,45,Yes,0x0e5c...e4cc,82,0.14,WH-790,Dry Storage,11.2,Yes,23,IECQ-HSPM,1%
